FID,FRS_FACILI,REGISTRY_I,PRIMARY_NA,LOCATION_A,SUPPLEMENT,CITY_NAME,COUNTY_NAM,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NA,POSTAL_COD,FEDERAL_FA,FEDERAL_AG,TRIBAL_LAN,TRIBAL_L_1,CONGRESSIO,CENSUS_BLO,HUC_CODE,EPA_REGION,SITE_TYPE_,LOCATION_D,CREATE_DAT,UPDATE_DAT,US_MEXICO_,PGM_SYS_AC,INTEREST_T,NAICS_CODE,NAICS_CO_1,SIC_CODES,SIC_CODE_D,LATITUDE83,LONGITUDE8,CONVEYOR,COLLECT_DE,ACCURACY_V,REF_POINT_,HDATUM_DES,SOURCE_DES,POINT_X,POINT_Y
570,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048360386,110048360386.000000000000000,LA CAPILLA, , , , , ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,26-OCT-2012 13:38:59,19-MAY-2015 23:36:30, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
571,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110047973724,110047973724.000000000000000,LA CARMELITA, , , ,PONCE, ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,26-OCT-2012 13:00:19,19-MAY-2015 07:48:53, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
572,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048008534,110048008534.000000000000000,LA CARMEN, , , , , ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,26-OCT-2012 13:04:14,19-MAY-2015 23:36:29, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
573,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110013063326,110013063326.000000000000000,LA CEIBA, , , ,AGUADA, ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,30-OCT-2002 18:38:13,19-MAY-2015 04:11:45, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
574,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048429624,110048429624.000000000000000,LA CHOZA ARRIBA DE ANASCO, , , ,ANASCO, ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,26-OCT-2012 13:44:58,28-JAN-2015 08:13:13, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
575,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110013063763,110013063763.000000000000000,LA CHOZA II, , , ,ANASCO, ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,30-OCT-2002 18:38:20,28-JAN-2015 12:22:30, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
576,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110013047032,110013047032.000000000000000,LA CUCHILLA, , , ,SAN LORENZO, ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,30-OCT-2002 18:34:39,19-MAY-2015 05:45:24, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
577,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110013052597,110013052597.000000000000000,LA CUEVA DEL INDIO, , , ,BARRANQUITAS, ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,30-OCT-2002 18:35:56,28-JAN-2015 12:24:23, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
578,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110013055175,110013055175.000000000000000,LA GELPA, , , ,PENUELAS, ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,30-OCT-2002 18:36:29,19-MAY-2015 05:45:35, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
579,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110047839489,110047839489.000000000000000,LA GRUA, , , ,YABUCOA, ,PR,PUERTO RICO, , , , , , ,0,0.000000000000000,0,2,WATER SYSTEM, ,26-OCT-2012 12:47:04,19-MAY-2015 07:48:08, ,SFDW,COMMUNITY WATER SYSTEM,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
