FID,FRS_FACILI,REGISTRY_I,PRIMARY_NA,LOCATION_A,SUPPLEMENT,CITY_NAME,COUNTY_NAM,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NA,POSTAL_COD,FEDERAL_FA,FEDERAL_AG,TRIBAL_LAN,TRIBAL_L_1,CONGRESSIO,CENSUS_BLO,HUC_CODE,EPA_REGION,SITE_TYPE_,LOCATION_D,CREATE_DAT,UPDATE_DAT,US_MEXICO_,PGM_SYS_AC,INTEREST_T,NAICS_CODE,NAICS_CO_1,SIC_CODES,SIC_CODE_D,LATITUDE83,LONGITUDE8,CONVEYOR,COLLECT_DE,ACCURACY_V,REF_POINT_,HDATUM_DES,SOURCE_DES,Lat,Long,POINT_X,POINT_Y
65,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110052556809,110052556809.000000000000000,COROZAL URBANO - DOS BOCAS DAM,PR-159 KM 16.5, ,COROZAL,COROZAL,72047,PR,PUERTO RICO,UNITED STATES,00783, , , , ,0,0.000000000000000,0,2,STATIONARY, ,27-OCT-2012 11:56:09,28-JUN-2016 13:49:35, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
66,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048152459,110048152459.000000000000000,FLORIDA URBANO - WATER SYSTEM,PR-155 KM 55.1, ,FLORIDA,FLORIDA,72054,PR,PUERTO RICO,UNITED STATES,00650, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 13:18:12,28-JUN-2016 17:29:36, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
67,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050133645,110050133645.000000000000000,ARENAS - ARENAS WELL,PR-116 KM 33.2, ,GUANICA,GUANICA,72055,PR,PUERTO RICO,UNITED STATES,00653, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 18:24:34,28-JUN-2016 15:28:48, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
68,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050104141,110050104141.000000000000000,ENSENADA - ENSENADA (ESTACION M),PR-116 KM 25.4, ,GUANICA,GUANICA,72055,PR,PUERTO RICO,UNITED STATES,00653, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 18:18:13,28-JUN-2016 13:45:54, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
69,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050564466,110050564466.000000000000000,ESTACION M - ESTACION M,PR-332 HM. 0.1, ,GUANICA,GUANICA,72055,PR,PUERTO RICO,UNITED STATES,00653, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 20:04:28,28-JUN-2016 17:30:00, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
70,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050103945,110050103945.000000000000000,GUANICA URBANO - GUANICA NUEVO,PR-116 KM.29.1, ,GUANICA,GUANICA,72055,PR,PUERTO RICO,UNITED STATES,00653, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 18:18:11,28-JUN-2016 15:21:22, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
71,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050104070,110050104070.000000000000000,GUANICA URBANO - GUANICA VIEJO,PR-116 KM.29.1, ,GUANICA,GUANICA,72055,PR,PUERTO RICO,UNITED STATES,00653, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 18:18:12,28-JUN-2016 13:45:54, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
72,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050104016,110050104016.000000000000000,GUANICA URBANO - OCHOA # 1,PR-116 KM.29.1, ,GUANICA,GUANICA,72055,PR,PUERTO RICO,UNITED STATES,00653, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 18:18:12,28-JUN-2016 14:53:04, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
73,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050103776,110050103776.000000000000000,LOS CANOS - LOS CANOS,PR-116 KM 33.4, ,GUANICA,GUANICA,72055,PR,PUERTO RICO,UNITED STATES,00653, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 18:18:09,28-JUN-2016 14:59:29, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
74,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050103874,110050103874.000000000000000,LOS CANOS - PALOMAS,PR-116 KM 33.4, ,GUANICA,GUANICA,72055,PR,PUERTO RICO,UNITED STATES,00653, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 18:18:10,28-JUN-2016 14:59:30, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
