Rowid_,VALUE,RED,GREEN,BLUE,OPACITY,COUNT,LAND_COVER
,11,0.280000000000000,0.420000000000000,0.630000000000000,1.000000000000000,3007885,Open Water
,21,0.870000000000000,0.790000000000000,0.790000000000000,1.000000000000000,308889,"Developed, Open Space"
,22,0.850000000000000,0.580000000000000,0.510000000000000,1.000000000000000,760324,"Developed, Low Intensity"
,23,0.930000000000000,0.000000000000000,0.000000000000000,1.000000000000000,472356,"Developed, Medium Intensity"
,24,0.670000000000000,0.000000000000000,0.000000000000000,1.000000000000000,73261,"Developed, High Intensity"
,31,0.700000000000000,0.680000000000000,0.640000000000000,1.000000000000000,68062,Barren Land
,42,0.110000000000000,0.390000000000000,0.190000000000000,1.000000000000000,5001858,Evergreen Forest
,52,0.800000000000000,0.730000000000000,0.490000000000000,1.000000000000000,298404,Shrub/Scrub
,71,0.890000000000000,0.890000000000000,0.760000000000000,1.000000000000000,3121076,Herbaceuous
,81,0.860000000000000,0.850000000000000,0.240000000000000,1.000000000000000,291292,Hay/Pasture
,82,0.670000000000000,0.440000000000000,0.160000000000000,1.000000000000000,243795,Cultivated Crops
,90,0.730000000000000,0.850000000000000,0.920000000000000,1.000000000000000,129523,Woody Wetlands
,95,0.440000000000000,0.640000000000000,0.730000000000000,1.000000000000000,174368,Emergent Herbaceuous Wetlands
